排名, 书名, 作者, 翻译者, 封面, 出版社时间, 出版社, 现价, 定价,折扣, 大类型, 子类型, 开本, 纸张, 包装, 是否套装,ISBN , 编辑推荐 ,评论数量 , 评论标签
1,真希望你也喜欢自己（房琪shou部作品重磅上市！写给所有年轻人的成长通关秘籍！杨天真、大冰、鲁豫、张含韵诚挚作序推荐。）,"['房琪kiki ', '，磨铁文化 出品']",None,http://img3m3.ddimg.cn/91/10/29474173-1_w_12.jpg,2022年09月 ,北京联合出版有限公司,37.30,49.80,7.49,成功/励志,心灵与修养,32开,胶版纸,平装-胶订,否,9787559664464,"1、杨天真、大冰、鲁豫、张含韵诚意作序
“房琪的这本书与其说是讲成长，不如说是讲生长。若你真认为自己正躺在白日不到处
已经决定放弃发芽，那这本“生长路书”，应该翻阅一下。”
2、一本送给所有年轻人的“成长通关秘籍”
你和自己，熟吗？
该为自己的野心道歉吗？
停留在原地真的意味着安稳？
十字路口，如何选择才不会遗憾？
该怎么做才能找到属于自己的主场？
如何找到和你同频共振的那一部分人？
3、破解成长背后的底层逻辑：“喜欢自己”是你面对这个世界时，的底气
?  或许我们终其一生就是没办法做这个世界的主角，但不妨碍我们可以做自己的主角。
4、全书后特别增加“超长拉页”，精选12篇房琪视频文案，用图文丈量脚步和时间。
如果可以，我想陪你走遍山川湖海和春秋冬夏，一日看尽雪月风花！
5、随书附赠“房琪写给读者的一封信”，见信展颜，感恩所有的喜爱、温暖和陪伴。
所有真心想说的话，都在里面，等你开启。
6、精致双封面设计，专色印刷，呼应“读万卷书，行万里路”的特别意向。
无论是身体还是灵魂，总要有一个在路上。
 ",583159,"['心灵鸡汤（2）', '受益匪浅（2）', '感染力强（2）', '振奋人心（2）', '文笔流畅（2）', '内容丰富（1）', '实用（1）', '干货满满（1）']"
2,保重（大冰小蓝书系列收官之作！就此别过，诸君保重。当当专享语音明信片。）,"['大冰 ', '，磨铁文化 出品']",None,http://img3m9.ddimg.cn/88/36/29453479-1_w_12.jpg,2022年08月 ,北京联合出版有限公司,18.30,39.80,4.6,小说,中国当代小说,128开,胶版纸,平装-胶订,否,9787559664129,"★ 大冰阔别三年，书写全新故事，小蓝书系列收官之作
全新21万字，讲述那些凡人微光、烟火凡间。工人的女儿、唱歌好的女科学家、独臂少年与盲人弟弟、神奇的一家人与传奇的忘年交……小蓝书系列七本书自此收官，有些故事还没讲完那就算了吧。世间没有不散的相伴，不必遗憾小蓝书的完结。
◎本书特为看书不方便的读者行个方便，开放播音版权，一起为他们行个方便。

★写作十年，认真剖白和自省，起底自己的出身，讲述自己的家人和故乡
十年写作生涯，坦诚剖析自我。长达6万字《胶东往事·三部曲》，是直面自己的卑微，是人到中年的自省，是一场艰难的反思与追寻。

★决绝书写《十年》后记，感恩千万读者十年陪伴
大冰：我曾紧握过你们当中百万人的手，曾看完过无数条你们的回馈留言，我知道你们当中太多人一年一本地读着这套小蓝书去当兵或求学、成家和立业、结婚又生子，从少年到青年，或从青年步入中年……希望你过得好。感恩十年，诸君不弃，予我以倾听，赠我以温饱体面。

★附有《保重》回信，写给你心中挂念的人
书中附有回信信纸，看到《保重》，想一想你心中挂念的人，剪下信纸，写信给TA吧。

★收录文中人声音，定制专属音乐；听他们的声音，读他们的故事
碗儿和爸爸的声音；我的乡音掖县话、乳山话；女科学家一鸣的声音；忘年交包先生父子的对话；赵鑫鑫和姐姐的日常；弟弟刘奥博的声音；铁成一家的声音……
另有《他亦飘零久》《关于我爱你》《麦田守望者》等定制专属音乐免费听。
 ",349246,"['温情感人（4）', '引人入胜（3）', '经典必读（3）', '中国原创（2）', '情节曲折（2）', '装帧精美（2）']"
3,保重（大冰小蓝书系列收官之作！就此别过，诸君保重。）,"['大冰 ', '，磨铁文化 出品']",None,http://img3m9.ddimg.cn/7/4/29453299-1_w_1706748059.jpg,2022年09月 ,北京联合出版有限公司,18.30,39.80,4.6,小说,中国当代小说,32开,胶版纸,平装-胶订,否,9787559664129,"★ 大冰阔别三年，书写全新故事，小蓝书系列收官之作
全新21万字，讲述那些凡人微光、烟火凡间。工人的女儿、唱歌好的女科学家、独臂少年与盲人弟弟、神奇的一家人与传奇的忘年交……小蓝书系列七本书自此收官，有些故事还没讲完那就算了吧。世间没有不散的相伴，不必遗憾小蓝书的完结。
◎本书特为看书不方便的读者行个方便，开放播音版权，一起为他们行个方便。
  ★写作十年，认真剖白和自省，起底自己的出身，讲述自己的家人和故乡
十年写作生涯，坦诚剖析自我。长达6万字《胶东往事·三部曲》，是直面自己的卑微，是人到中年的自省，是一场艰难的反思与追寻。
  ★决绝书写《十年》后记，感恩千万读者十年陪伴
大冰：我曾紧握过你们当中百万人的手，曾看完过无数条你们的回馈留言，我知道你们当中太多人一年一本地读着这套小蓝书去当兵或求学、成家和立业、结婚又生子，从少年到青年，或从青年步入中年……希望你过得好。感恩十年，诸君不弃，予我以倾听，赠我以温饱体面。
  ★附有《保重》回信，写给你心中挂念的人
书中附有回信信纸，看到《保重》，想一想你心中挂念的人，剪下信纸，写信给TA吧。
  ★收录文中人声音，定制专属音乐；听他们的声音，读他们的故事
碗儿和爸爸的声音；我的乡音掖县话、乳山话；女科学家一鸣的声音；忘年交包先生父子的对话；赵鑫鑫和姐姐的日常；弟弟刘奥博的声音；铁成一家的声音……
另有《他亦飘零久》《关于我爱你》《麦田守望者》等定制专属音乐免费听。
 ",289463,"['温情感人（2）', '经典必读（2）', '中国原创（1）', '引人入胜（1）', '情节曲折（1）', '装帧精美（1）']"
4,大话中国艺术史（句句有梗，一口气读完10000年中国艺术史。艺术头部自媒体意外艺术新作，句句有梗的极简艺术史又来了）,['意公子；读客文化 出品'],None,http://img3m5.ddimg.cn/7/10/29374495-1_w_14.jpg,2022年03月 ,海南出版社,59.00,118.00,5,艺术,世界各国艺术概况,16开,特种纸,平装,否,9787544394796,"◆句句有梗，一口气读完10000年中国艺术史
◆2020年热门艺术书籍《大话西方艺术史》姐妹篇，这本句句有梗的极简艺术史又来了！
◆作者多次预告，读者翘首以盼，艺术头部自媒体意外艺术新作，意公子带你领略10000年璀璨中华艺术
◆李白、苏轼、唐伯虎、王羲之…你熟悉的历史名人，你不熟悉的艺术故事
◆陶器、玉器、青铜器、山水画、书法……一本书囊括150件中华艺术品
原始艺术、青铜时代、秦汉艺术……一口气讲完10000年中国艺术史
◆3种器具、4帖书法、9幅名画、45位艺术名家，带你解码中国艺术的深沉内涵
◆锁线裸脊，180°无死角欣赏精品文物；超长跨页，带给你博物馆式的体验
◆《清明上河图》游览指南，带你穿越北宋一日游；《富春山居图》山水合璧，除了在台北故宫，在《大话中国艺术史》里也可以看到
◆全书图文辉映，插图悦目赏心，文字流畅精炼。条理分明，妙趣横生；通俗易懂，老少皆宜。
 ",154583,"['实用（5）', '装帧精美（5）', '值得收藏（3）']"
5,阅读的方法（罗胖罗振宇的新书来了！这本书里有让你爱上阅读的方法 团购热线：4001066666转6）,"['罗振宇 ', ',得到图书 出品']",None,http://img3m6.ddimg.cn/43/36/29389876-1_w_15.jpg,2022年04月 ,新星出版社,49.60,69.00,7.19,成功/励志,智商/智谋,32开,胶版纸,平装-胶订,否,9787513348867,"相关书单：
《阅读的方法》推荐阅读1
《阅读的方法》推荐阅读2
《阅读的方法》推荐阅读3
《阅读的方法》推荐阅读4
 ",89871,"['振奋人心（15）', '感染力强（14）', '文笔流畅（9）', '干货满满（7）', '内容丰富（5）', '受益匪浅（4）', '实用（4）']"
6,如果历史是一群喵10·宋辽金夏篇,['肥志编绘，漫友文化出品'],None,http://img3m3.ddimg.cn/41/32/29392943-1_w_15.jpg,2022年04月 ,广东旅游出版社,29.90,59.80,5,动漫/幽默,大陆漫画,16开,胶版纸,线装,否,9787557027063,"★华丽第十卷气场全开！由微博知名动漫大V、科普漫画家肥志倾力创作，一路火爆的现象级历史漫画系列《如果历史是一群喵》再掀新章，拉开两宋大幕，讲述宋、辽、金、夏各政权间的进退争锋。
★以赵光义、萧太后、李元昊、完颜阿骨打等重要人物的故事为切入点，深入王安石变法、庆历和议、靖康之变等历史细节，帮你摸透每朝每代的发展脉络。
★全员化身喵咪的漫画中国史，沉浸感十足的故事式图文让复杂的历史一目了然。语出有据又流畅易读，引证丰富，参考《宋史》《金史》《续资治通鉴长编》等60多部史籍资料，满纸知识点，让教科书上的片段瞬间清晰！
★同名动画在B站累计突破2亿次播放，近300万人订阅追番，登陆“学习强国”学习平台，是不容错过的国漫代表！
★采用高*品质装帧设计：精致内外双封、烫金压纹工艺、护眼双胶纸，以及裸脊线装工艺，带来今古之间的穿越体验。厚度再升级，全书达350页，每一章节特别收录延伸小故事，深扒那些权谋较量下的人与事。
推荐阅读：
 ",146369,"['被治愈（6）', '画工精美（4）', '解压神器（2）', '好搞笑（1）', '暖萌（1）']"
7,借势：以弱胜强的128条黄金法则（借大势，成大事！广告界鬼才金枪大叔20年实战经验！每句话都很值钱，读了就是赚了！）,['金枪大叔'],None,http://img3m6.ddimg.cn/94/27/29419726-1_w_21.jpg,2022年06月 ,北京联合出版有限公司,35.90,78.00,4.61,管理,一般管理学,32开,胶版纸,精装,否,9787559662132,"◆千年一遇的广告鬼才金枪大叔，128条黄金法则，看懂的人都起飞了
金枪大叔，横扫中国广告市场的营销奇人，他策划的广告你一定见过！
BOSS直聘：找工作，我要跟老板谈
伯爵旅拍：婚纱照去哪拍？想去哪拍，就去哪拍！铂爵旅拍！
ulike脱毛仪：高级女人用高级的
黑白调：坏习惯，一调就好
团油：加油用团油，不当冤大头
每个爆款广告背后，都是金枪大叔强大的洞察力和与众不同的思维方式。《借势》是金枪大叔广告从业多年来精华之书，凝练以弱胜强的128条黄金法则，10大借势思维，千亿品牌操盘的核心秘诀，每一句话都很值钱，读了就是赚了！
（1）胆小的不做，事多的不做
（2）只和直接拍板人谈，有中间商的不拍
（3）预算不足的不做
本书收录金枪大叔多年广告心法、商业思维认知、价值观、品牌方法论等，看懂一句话就能醍醐灌顶。看不懂的人不要买！
◆深谙人性痛点，每句话都直击灵魂
·定位：低端说价格。中端说档次。高端说文化。
·进化：小众东西专业化；专业东西通俗化；通俗东西娱乐化；娱乐东西学术化。
·品味：品位就是小众，小众就是脱离群众。
·广告语：当你的广告语写出了个体宣言的感觉，你就一定会赢。
·情绪：广告要传播的不是真相，不是真理，而是一种情绪。
显示全部信息",122801,['观点独特（1）']
8,名画里看世界 给孩子能读懂的美学科普 精装版,['钟华'],None,http://img3m9.ddimg.cn/26/8/29346299-1_w_1693974269.jpg,2022年01月 ,北京联合出版有限公司,37.50,50.00,7.5,童书,科普/百科,12开,铜版纸,精装,否,9787559657732,"no.1——真实、浸透式的语言
用讲故事的沉浸式的思维方法，将画家、画作、画法及绘画实践串联起来。设置充满场景感、对话感的语言风格和观画视角，令孩子产生丰富的情绪记忆，拓展形象思维。
no.2——普适性、实用性，为中国孩子设计
30 个独立主题，200 个艺术常识，把生硬的百科通过趣味故事娓娓道来，信息量大，是一本全景式的故事百科。除主要内容外，还穿插了“艺术圈的大事件”“艺术名词解析”等专题，在充实文本的同时增加了阅读趣味性。
no.3——大开本，独具艺术性的装帧、巧妙的排版
版面采用有重点、有主次，错落开来的自由排式。炫目的画面、紧凑的情节，激发读者对作品更深层次的理解。
 ",124282,"['趣味性强（20）', '通俗易懂（19）', '知识点丰富（16）', '可读性强（12）', '内容权威（8）', '引进版（3）', '获奖作品（3）']"
9,在岁月中远行（俞敏洪重磅新作，人生起伏下的心路与沉思！）,"['俞敏洪 ', ',博集天卷 出品']",None,http://img3m1.ddimg.cn/11/17/29401031-1_w_1698821683.jpg,2022年05月 ,新星出版社,31.20,68.00,4.59,成功/励志,人生哲学,16开,胶版纸,平装-胶订,否,9787513349116,"◇俞敏洪重磅新作，人生起伏下的心路与沉思！
◇在不确定年代，学会与变化共处，笃定前行！
◇收录了俞敏洪老师近年来工作、生活和行走的感悟与思考，真实反映了他在世事变幻、人生起伏下的心路历程和深刻思考。
◇读书、旅行、学习、成长、教育、处世、梦想、个人修炼、 社会责任......
◇俞敏洪老师在本书中带领我们学习适应变化，学习与变化共处，提升自己在变化中解决问题的能力。
◇一行行的文字，既是俞敏洪老师记录生命轨迹的方式，也是一种对过往经历的自我萃取和沉淀。
◇对当下的我们来说，这是宝贵的人生经验和方法论，可以帮助我们在不确定的时代中，寻找到属于自己的那份确定。
◇读完本书，你将收获勇气和笃定，在有限的时空里，活出无限的人生精彩。
◇抓住壮大自己的机会，找到属于自己的那份确定！
◇让生命厚重的，是苦难和越过苦难后的刻骨铭心！
◇行走在天地间，漫步在书与影，向内心寻找答案，向时间寻找答案。
◇行走使人辽阔，阅读让人生释然。愿你在有限的时空，活出无限的人生！
◇高附加值：内含数十幅精美彩插，多篇文章可链接至俞敏洪亲自录制的导读、讲解视频，搭配阅读。 
 ",110672,"['文笔流畅（9）', '振奋人心（8）', '感染力强（5）', '内容丰富（2）', '受益匪浅（2）', '干货满满（2）', '实用（1）']"
10,望江南（2022中国好书获奖作品！茅奖得主王旭烽，沉潜26年，最新长篇小说力作。）,['王旭烽'],None,http://img3m0.ddimg.cn/74/5/29367830-1_w_45.jpg,2022年03月 ,浙江文艺出版社,34.00,68.00,5,小说,中国当代小说,32开,胶版纸,平装-胶订,否,9787533963354,"小说讲述的是杭氏家族的故事，但它展现的是中国人的生活方式，传达的是中国人特有的品格和理念。茶是中国老百姓生活中的“开门七件事”之一，茶也是特殊年代中国商人换取外汇、助力国家崛起的重要物资。在某种程度上，茶还能代表中国人，代表温文尔雅的中国品格。王旭烽的可贵之处，在于她让历史变得有血有肉。在她笔下，“国家”被无数颗赤子之心小心翼翼地守护着，让人感受到历史厚度之外的人情温度。
 ",131967,"['温情感人（4）', '装帧精美（4）', '中国原创（2）', '引人入胜（2）', '情节曲折（1）', '经典必读（1）']"
